N,trial,iterations,fitness,time,fevals
20,0,0,8.0,0.000398221,11,0
20,0,10,12.0,0.000650665,21,0
20,0,20,12.0,0.00080869,31,0
20,0,30,12.0,0.000999505,41,1
20,0,40,14.0,0.001257085,51,2
20,0,50,14.0,0.001535604,61,0
20,0,60,14.0,0.002006122,71,1
20,0,70,14.0,0.002219455,81,2
20,0,80,14.0,0.002463998,91,3
20,0,90,14.0,0.002695504,101,4
20,0,100,16.0,0.00299022,111,5
20,0,110,16.0,0.00334696,121,0
20,0,120,16.0,0.003701725,131,1
20,0,130,16.0,0.003879898,141,2
20,0,140,16.0,0.004132737,151,3
20,0,150,16.0,0.005000687,161,4
20,0,160,16.0,0.0052796,171,5
20,0,170,16.0,0.005538761,181,6
20,0,180,16.0,0.005935797,191,7
20,0,190,16.0,0.006162167,201,8
20,0,200,16.0,0.006331253,211,9
20,0,210,16.0,0.006569475,221,10
20,0,220,16.0,0.006805722,231,11
20,0,230,16.0,0.00714508,241,12
20,0,240,16.0,0.007285722,251,13
20,0,250,16.0,0.007492734,261,14
20,0,260,16.0,0.007698956,271,15
20,0,270,16.0,0.007833672,281,16
20,0,280,16.0,0.00798103,291,17
20,0,290,16.0,0.008259153,301,18
20,0,300,16.0,0.008562165,311,19
20,0,310,16.0,0.008995152,321,20
20,0,320,16.0,0.009260634,331,21
20,0,330,16.0,0.010317028,341,22
20,0,340,16.0,0.010431595,351,23
20,0,350,16.0,0.010568286,361,24
20,0,360,16.0,0.010669027,371,25
20,0,370,16.0,0.010914755,381,26
20,0,380,16.0,0.011134015,391,27
20,0,390,16.0,0.011482854,401,28
20,0,400,16.0,0.01164483,411,29
20,0,410,16.0,0.011872781,421,30
20,0,420,16.0,0.012039892,431,31
20,0,430,16.0,0.012206608,441,32
20,0,440,16.0,0.012344485,451,33
20,0,450,16.0,0.012449571,461,34
20,0,460,16.0,0.012513571,471,35
20,0,470,16.0,0.01266804,481,36
20,0,480,16.0,0.01276325,491,37
20,0,490,16.0,0.012876237,501,38
20,0,500,16.0,0.013044928,511,39
20,0,510,16.0,0.013262606,521,40
20,0,520,16.0,0.01338389,531,41
20,0,530,16.0,0.013538359,541,42
20,0,540,16.0,0.013666359,551,43
20,0,550,16.0,0.013799495,561,44
20,0,560,16.0,0.013996235,571,45
20,0,570,16.0,0.014177963,581,46
20,0,580,16.0,0.014354555,591,47
20,0,590,16.0,0.01451653,601,48
20,0,600,16.0,0.014639789,611,49
20,0,610,16.0,0.014789517,621,50
20,0,620,16.0,0.014953073,631,51
20,0,630,16.0,0.015087394,641,52
20,0,640,16.0,0.015184579,651,53
20,0,650,16.0,0.0152869,661,54
20,0,660,16.0,0.015435838,671,55
20,0,670,16.0,0.015557122,681,56
20,0,680,16.0,0.015787048,691,57
20,0,690,16.0,0.015920184,701,58
20,0,700,16.0,0.016140234,711,59
20,0,710,16.0,0.016210555,721,60
20,0,720,16.0,0.016384777,731,61
20,0,730,16.0,0.01646695,741,62
20,0,740,16.0,0.016569666,751,63
20,0,750,16.0,0.016708333,761,64
20,0,760,16.0,0.016843444,771,65
20,0,770,16.0,0.016996727,781,66
20,0,780,16.0,0.017165813,791,67
20,0,790,16.0,0.017336479,801,68
20,0,800,16.0,0.017435245,811,69
20,0,810,16.0,0.017538356,821,70
20,0,820,16.0,0.017739442,831,71
20,0,830,16.0,0.017893911,841,72
20,0,840,16.0,0.018064972,851,73
20,0,850,16.0,0.018237219,861,74
20,0,860,16.0,0.018464379,871,75
20,0,870,16.0,0.018542996,881,76
20,0,880,16.0,0.018753169,891,77
20,0,890,16.0,0.018919095,901,78
20,0,900,16.0,0.019000082,911,79
20,0,910,16.0,0.01914586,921,80
20,0,920,16.0,0.01934023,931,81
20,0,930,16.0,0.019547637,941,82
20,0,940,16.0,0.01966102,951,83
20,0,950,16.0,0.019812328,961,84
20,0,960,16.0,0.01992097,971,85
20,0,970,16.0,0.020070698,981,86
20,0,980,16.0,0.020162352,991,87
20,0,990,16.0,0.020461414,1001,88
20,0,1000,16.0,0.020545167,1011,89
20,0,1010,16.0,0.020679093,1021,90
20,0,1020,16.0,0.020803538,1031,91
20,0,1030,16.0,0.020953661,1041,92
20,0,1040,16.0,0.02113934,1051,93
20,0,1050,16.0,0.021261414,1061,94
20,0,1060,16.0,0.021452624,1071,95
20,0,1070,16.0,0.021557315,1081,96
20,0,1080,16.0,0.021675834,1091,97
20,0,1090,16.0,0.021757217,1101,98
20,0,1100,16.0,0.021889563,1111,99
20,0,1100,16.0,0.021889563,1111,optimal
20,1,0,15.0,9.4815e-05,11,0
20,1,10,17.0,0.000195556,21,0
20,1,20,17.0,0.000337779,31,0
20,1,30,17.0,0.000442865,41,1
20,1,40,17.0,0.000584692,51,2
20,1,50,17.0,0.000701631,61,3
20,1,60,17.0,0.000804347,71,4
20,1,70,17.0,0.000902717,81,5
20,1,80,17.0,0.001001482,91,6
20,1,90,17.0,0.001231408,101,7
20,1,100,17.0,0.001450272,111,8
20,1,110,17.0,0.001605927,121,9
20,1,120,17.0,0.00175131,131,10
20,1,130,17.0,0.001983211,141,11
20,1,140,17.0,0.00249126,151,12
20,1,150,17.0,0.00265205,161,13
20,1,160,17.0,0.002761877,171,14
20,1,170,17.0,0.002939654,181,15
20,1,180,17.0,0.003034074,191,16
20,1,190,17.0,0.003175901,201,17
20,1,200,17.0,0.003320888,211,18
20,1,210,17.0,0.003487209,221,19
20,1,220,17.0,0.003785875,231,20
20,1,230,17.0,0.004249282,241,21
20,1,240,17.0,0.004365035,251,22
20,1,250,17.0,0.004525035,261,23
20,1,260,17.0,0.004658171,271,24
20,1,270,17.0,0.004782616,281,25
20,1,280,17.0,0.004852542,291,26
20,1,290,17.0,0.004985677,301,27
20,1,300,17.0,0.005210072,311,28
20,1,310,17.0,0.005458566,321,29
20,1,320,17.0,0.00561185,331,30
20,1,330,17.0,0.00574064,341,31
20,1,340,17.0,0.005824788,351,32
20,1,350,17.0,0.005905381,361,33
20,1,360,17.0,0.006001776,371,34
20,1,370,17.0,0.006182714,381,35
20,1,380,17.0,0.0063759,391,36
20,1,390,17.0,0.006477826,401,37
20,1,400,17.0,0.00659832,411,38
20,1,410,17.0,0.006740937,421,39
20,1,420,17.0,0.006948739,431,40
20,1,430,17.0,0.007074764,441,41
20,1,440,17.0,0.007271899,451,42
20,1,450,17.0,0.007383306,461,43
20,1,460,17.0,0.007511701,471,44
20,1,470,17.0,0.007647207,481,45
20,1,480,17.0,0.00776296,491,46
20,1,490,17.0,0.007824985,501,47
20,1,500,17.0,0.007927701,511,48
20,1,510,17.0,0.008066763,521,49
20,1,520,17.0,0.008205429,531,50
20,1,530,17.0,0.00834133,541,51
20,1,540,17.0,0.008547947,551,52
20,1,550,17.0,0.008745478,561,53
20,1,560,17.0,0.008835947,571,54
20,1,570,17.0,0.009023996,581,55
20,1,580,17.0,0.009091946,591,56
20,1,590,17.0,0.009199007,601,57
20,1,600,17.0,0.009354661,611,58
20,1,610,17.0,0.009613031,621,59
20,1,620,17.0,0.009697969,631,60
20,1,630,17.0,0.009774216,641,61
20,1,640,17.0,0.009886414,651,62
20,1,650,17.0,0.009999402,661,63
20,1,660,17.0,0.010109229,671,64
20,1,670,17.0,0.010256192,681,65
20,1,680,17.0,0.010447797,691,66
20,1,690,17.0,0.010531945,701,67
20,1,700,17.0,0.010682858,711,68
20,1,710,17.0,0.010858265,721,69
20,1,720,17.0,0.010975994,731,70
20,1,730,17.0,0.011054216,741,71
20,1,740,17.0,0.01121224,751,72
20,1,750,17.0,0.011348141,761,73
20,1,760,17.0,0.011576882,771,74
20,1,770,17.0,0.011675252,781,75
20,1,780,17.0,0.011804438,791,76
20,1,790,17.0,0.011893327,801,77
20,1,800,17.0,0.012032389,811,78
20,1,810,17.0,0.012197524,821,79
20,1,820,17.0,0.012325919,831,80
20,1,830,17.0,0.012459055,841,81
20,1,840,17.0,0.012566116,851,82
20,1,850,17.0,0.012776684,861,83
20,1,860,17.0,0.012850166,871,84
20,1,870,17.0,0.012990412,881,85
20,1,880,17.0,0.013104189,891,86
20,1,890,17.0,0.013253918,901,87
20,1,900,17.0,0.013382708,911,88
20,1,910,17.0,0.013547449,921,89
20,1,920,17.0,0.013684931,931,90
20,1,930,17.0,0.013858758,941,91
20,1,940,17.0,0.014028239,951,92
20,1,950,17.0,0.014222609,961,93
20,1,960,17.0,0.01439209,971,94
20,1,970,17.0,0.014507053,981,95
20,1,980,17.0,0.014652436,991,96
20,1,990,17.0,0.014752386,1001,97
20,1,1000,17.0,0.01484167,1011,98
20,1,1010,17.0,0.014915152,1021,99
20,1,1010,17.0,0.014915152,1021,optimal
20,2,0,10.0,7.1111e-05,11,0
20,2,10,12.0,0.000223605,21,0
20,2,20,12.0,0.000301827,31,0
20,2,30,12.0,0.000402173,41,1
20,2,40,12.0,0.000496198,51,2
20,2,50,12.0,0.000655013,61,3
20,2,60,12.0,0.000808692,71,4
20,2,70,12.0,0.000950519,81,5
20,2,80,12.0,0.001108149,91,6
20,2,90,12.0,0.001268149,101,7
20,2,100,12.0,0.001434865,111,8
20,2,110,12.0,0.00156326,121,9
20,2,120,13.0,0.00166005,131,10
20,2,130,13.0,0.001828741,141,0
20,2,140,13.0,0.001963062,151,1
20,2,150,15.0,0.002048791,161,2
20,2,160,15.0,0.002179952,171,0
20,2,170,15.0,0.002292939,181,1
20,2,180,15.0,0.002379458,191,2
20,2,190,15.0,0.002435557,201,3
20,2,200,15.0,0.002561582,211,4
20,2,210,15.0,0.002763064,221,5
20,2,220,15.0,0.002856693,231,6
20,2,230,15.0,0.003113483,241,7
20,2,240,15.0,0.00322489,251,8
20,2,250,15.0,0.003380545,261,9
20,2,260,15.0,0.003508545,271,10
20,2,270,15.0,0.003621532,281,11
20,2,280,15.0,0.003821828,291,12
20,2,290,15.0,0.003952989,301,13
20,2,300,15.0,0.004105088,311,14
20,2,310,15.0,0.004243755,321,15
20,2,320,15.0,0.004320397,331,16
20,2,330,15.0,0.004384792,341,17
20,2,340,15.0,0.004530569,351,18
20,2,350,15.0,0.004683458,361,19
20,2,360,15.0,0.004749433,371,20
20,2,370,15.0,0.004934322,381,21
20,2,380,15.0,0.005133038,391,22
20,2,390,15.0,0.00520889,401,23
20,2,400,15.0,0.005306075,411,24
20,2,410,15.0,0.005505976,421,25
20,2,420,15.0,0.005679408,431,26
20,2,430,15.0,0.005796742,441,27
20,2,440,15.0,0.00587694,451,28
20,2,450,15.0,0.005960693,461,29
20,2,460,15.0,0.006024693,471,30
20,2,470,15.0,0.006198125,481,31
20,2,480,15.0,0.006319014,491,32
20,2,490,15.0,0.006390125,501,33
20,2,500,15.0,0.006543804,511,34
20,2,510,15.0,0.006639804,521,35
20,2,520,15.0,0.006736594,531,36
20,2,530,15.0,0.006911211,541,37
20,2,540,15.0,0.006987063,551,38
20,2,550,15.0,0.007054223,561,39
20,2,560,15.0,0.007136,571,40
20,2,570,15.0,0.007217777,581,41
20,2,580,15.0,0.007409382,591,42
20,2,590,15.0,0.007699357,601,43
20,2,600,15.0,0.007915851,611,44
20,2,610,15.0,0.008014222,621,45
20,2,620,15.0,0.008074666,631,46
20,2,630,15.0,0.008158024,641,47
20,2,640,15.0,0.008302616,651,48
20,2,650,15.0,0.008468542,661,49
20,2,660,15.0,0.008541233,671,50
20,2,670,15.0,0.008675159,681,51
20,2,680,15.0,0.008769578,691,52
20,2,690,15.0,0.008841874,701,53
20,2,700,15.0,0.00897343,711,54
20,2,710,15.0,0.009052047,721,55
20,2,720,15.0,0.009179651,731,56
20,2,730,15.0,0.009289083,741,57
20,2,740,15.0,0.009416688,751,58
20,2,750,15.0,0.009499651,761,59
20,2,760,15.0,0.009631207,771,60
20,2,770,15.0,0.009769084,781,61
20,2,780,15.0,0.00984296,791,62
20,2,790,15.0,0.009940935,801,63
20,2,800,15.0,0.010022318,811,64
20,2,810,15.0,0.010076836,821,65
20,2,820,15.0,0.010128589,831,66
20,2,830,15.0,0.010424885,841,67
20,2,840,15.0,0.010493626,851,68
20,2,850,15.0,0.010589626,861,69
20,2,860,15.0,0.010713281,871,70
20,2,870,15.0,0.010768194,881,71
20,2,880,15.0,0.010847601,891,72
20,2,890,15.0,0.010954267,901,73
20,2,900,15.0,0.011087798,911,74
20,2,910,15.0,0.011154168,921,75
20,2,920,15.0,0.011282958,931,76
20,2,930,15.0,0.011364736,941,77
20,2,940,15.0,0.01145323,951,78
20,2,950,15.0,0.011622712,961,79
20,2,960,15.0,0.011991305,971,80
20,2,970,15.0,0.012083354,981,81
20,2,980,15.0,0.012165132,991,82
20,2,990,15.0,0.012295107,1001,83
20,2,1000,15.0,0.012391502,1011,84
20,2,1010,15.0,0.012543205,1021,85
20,2,1020,15.0,0.012665674,1031,86
20,2,1030,15.0,0.012767205,1041,87
20,2,1040,15.0,0.012862415,1051,88
20,2,1050,15.0,0.01299239,1061,89
20,2,1060,15.0,0.013082068,1071,90
20,2,1070,15.0,0.013180833,1081,91
20,2,1080,15.0,0.013318709,1091,92
20,2,1090,15.0,0.013420634,1101,93
20,2,1100,15.0,0.013486609,1111,94
20,2,1110,15.0,0.013628436,1121,95
20,2,1120,15.0,0.013763942,1131,96
20,2,1130,15.0,0.013903004,1141,97
20,2,1140,15.0,0.014053522,1151,98
20,2,1150,15.0,0.014181917,1161,99
20,2,1150,15.0,0.014181917,1161,optimal
20,3,0,8.0,1.89630000005e-05,11,0
20,3,10,12.0,8.53330000004e-05,21,0
20,3,20,12.0,0.000234666000001,31,0
20,3,30,14.0,0.000366221000001,41,1
20,3,40,14.0,0.000521480000001,51,0
20,3,50,14.0,0.000604443000001,61,1
20,3,60,14.0,0.000798024000002,71,2
20,3,70,14.0,0.000932740000001,81,3
20,3,80,14.0,0.001020839,91,4
20,3,90,14.0,0.001094321,101,5
20,3,100,14.0,0.001229432,111,6
20,3,110,14.0,0.001364543,121,7
20,3,120,14.0,0.001508741,131,8
20,3,130,14.0,0.001608691,141,9
20,3,140,14.0,0.001697975,151,10
20,3,150,14.0,0.001774222,161,11
20,3,160,14.0,0.001838222,171,12
20,3,170,14.0,0.001975703,181,13
20,3,180,14.0,0.002131752,191,14
20,3,190,14.0,0.002198517,201,15
20,3,200,14.0,0.002280295,211,16
20,3,210,14.0,0.002376295,221,17
20,3,220,14.0,0.002444246,231,18
20,3,230,14.0,0.002516937,241,19
20,3,240,14.0,0.002629925,251,20
20,3,250,14.0,0.002746073,261,21
20,3,260,14.0,0.002843258,271,22
20,3,270,14.0,0.003057776,281,23
20,3,280,14.0,0.003190516,291,24
20,3,290,14.0,0.003295602,301,25
20,3,300,14.0,0.003363552,311,26
20,3,310,14.0,0.00344454,321,27
20,3,320,14.0,0.003535799,331,28
20,3,330,14.0,0.003780737,341,29
20,3,340,14.0,0.004030811,351,30
20,3,350,14.0,0.004436144,361,31
20,3,360,14.0,0.004573625,371,32
20,3,370,14.0,0.004652242,381,33
20,3,380,14.0,0.004805525,391,34
20,3,390,14.0,0.004939056,401,35
20,3,400,14.0,0.005014513,411,36
20,3,410,14.0,0.005083254,421,37
20,3,420,14.0,0.00515713,431,38
20,3,430,14.0,0.005261821,441,39
20,3,440,14.0,0.005384686,451,40
20,3,450,14.0,0.00554113,461,41
20,3,460,14.0,0.005695599,471,42
20,3,470,14.0,0.005868636,481,43
20,3,480,14.0,0.006073673,491,44
20,3,490,14.0,0.006185476,501,45
20,3,500,14.0,0.006259353,511,46
20,3,510,14.0,0.006333624,521,47
