iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.812352542728,0.80349957679,0.812880165325,0.186,0.196,0.185333333333,0.155739927
10,0.524605944185,0.561377049088,0.527050433022,0.451,0.41,0.450666666667,1.359964161
20,0.388695307593,0.40835840251,0.43417076179,0.518333333333,0.49,0.469333333333,2.540483527
30,0.317760556454,0.371200983739,0.382015162471,0.557666666667,0.484,0.488666666667,3.663633256
40,0.289676998856,0.361289090395,0.358790511899,0.568,0.468,0.498666666667,4.973357851
50,0.26986343312,0.341824988644,0.345574841619,0.589,0.494,0.496666666667,6.127032392
60,0.257998055134,0.334504942918,0.338592368247,0.598333333333,0.51,0.506,7.352217796
70,0.247963008725,0.328870236011,0.334308888745,0.62,0.514,0.52,8.511917818
80,0.241644027712,0.322279971611,0.331466549208,0.629666666667,0.53,0.52,9.686610817
90,0.236320301252,0.320528353213,0.331178171108,0.639,0.528,0.518,10.968251682
100,0.230976293506,0.318552612567,0.330010701773,0.646666666667,0.524,0.522666666667,12.223905407
110,0.227849228218,0.320070705038,0.327940498908,0.649666666667,0.518,0.523333333333,13.613366828
120,0.224372962929,0.319031504184,0.326697641728,0.657333333333,0.522,0.527333333333,15.178136357
130,0.221074077457,0.316325347644,0.323234851535,0.662333333333,0.526,0.533333333333,16.521583789
140,0.21971878047,0.318981049772,0.321736352315,0.663666666667,0.534,0.528666666667,17.999912299
150,0.217400346221,0.319126365218,0.322099148178,0.665666666667,0.536,0.534666666667,19.836264033
160,0.215359826528,0.315467000835,0.32209433685,0.664666666667,0.538,0.531333333333,21.378741432
170,0.213586055434,0.315378294186,0.321550919482,0.672666666667,0.548,0.532,23.067241037
180,0.212365140549,0.312100107729,0.32233908078,0.673666666667,0.556,0.533333333333,25.175588605
190,0.211058384936,0.311858598441,0.3228681364,0.675,0.548,0.530666666667,27.09493682
200,0.225682231594,0.318838978685,0.325928000684,0.662333333333,0.544,0.528666666667,28.519696582
210,0.209680755147,0.314395483229,0.323045143447,0.678333333333,0.548,0.533333333333,30.006502321
220,0.208958898188,0.314268092279,0.320728134731,0.68,0.55,0.539333333333,31.505916446
230,0.208730461721,0.318458002543,0.321456947231,0.681333333333,0.554,0.534,33.063439761
240,0.208614606912,0.31828039975,0.323027104668,0.680333333333,0.556,0.534666666667,34.457195892
250,0.206914761811,0.318229298348,0.321599290427,0.685333333333,0.552,0.540666666667,35.926569939
260,0.206320343435,0.318415217942,0.32143965869,0.686,0.546,0.536666666667,37.347120715
270,0.205213959946,0.318178112942,0.320520655315,0.686333333333,0.548,0.538,38.774519487
280,0.204412730272,0.318017872832,0.321183366939,0.688333333333,0.544,0.534,40.219046151
290,0.203642220645,0.317502865681,0.32126327529,0.686666666667,0.552,0.538666666667,41.666930439
300,0.20397926276,0.317837616907,0.319927267663,0.689,0.558,0.542,43.136976092
310,0.204238717039,0.316228195948,0.31920414968,0.692666666667,0.558,0.543333333333,44.55800371
320,0.204138332676,0.315824880676,0.320273989754,0.692666666667,0.56,0.544,46.090572176
330,0.203940460464,0.317265656792,0.320016055193,0.693666666667,0.556,0.544666666667,47.506709329
340,0.203548452029,0.317391150765,0.32148164557,0.694,0.552,0.545333333333,49.063865629
350,0.202698302814,0.315694519514,0.320403236426,0.695,0.548,0.54,50.494135314
360,0.201363963862,0.314774782583,0.319603136032,0.696333333333,0.55,0.54,51.924256059
370,0.200909125887,0.314393369005,0.320086754268,0.694,0.548,0.544,53.310770322
380,0.200641302876,0.313836148121,0.319926165887,0.698,0.55,0.543333333333,54.747544692
390,0.200149896883,0.31130371254,0.32069843871,0.698666666667,0.556,0.540666666667,56.118437043
400,0.199871213087,0.309738217803,0.322190630461,0.696,0.556,0.541333333333,57.521148034
